PNR,Complaint,Department
,The coffee was served without sugar,Catering & Food Quality
,The staff was not able to provide any information about the train s delay,Staff Behavior & Customer Service
,The coach was not cleaned and the floor was littered with plastic bottles,Cleanliness & Housekeeping
,The website is not compatible with older versions of web browsers,Commercial & Ticketing
,The train was stopped for a long time due to a technical issue,Security & Rpf
,The train was late and the staff was not providing any refreshments,Operations & Scheduling
,The AC was not working and the staff was not taking any action,Technical Maintenance (Coach)
,The station did not have a proper parking facility for disabled people,Station Management & Infrastructure
,The food was not good and I got a stomach ache after eating it,Catering & Food Quality
,The staff was not providing a clean bedsheet even after repeated requests,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was not flushed,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for online bookings,Commercial & Ticketing
,The train was stopped due to a security problem ahead,Security & Rpf
,The train was late and I had to take a taxi to reach my destination,Operations & Scheduling
,The fan was not working and the staff was not repairing it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for ladies with children,Station Management & Infrastructure
,The food was not good and it was not fresh,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very dusty and dirty,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for tatkal tickets,Commercial & Ticketing
,The train was stopped due to a security issue ahead,Security & Rpf
,The train was late and I had to spend a lot of money on accommodation,Operations & Scheduling
,The light was not working and the staff was not paying any attention,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with RAC tickets,Station Management & Infrastructure
,The food was not good and it was not hygienic,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and unusable,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for cancelled trains,Commercial & Ticketing
,The train was stopped due to a security problem in the next station,Security & Rpf
,The train was late and I had to cancel my further journey,Operations & Scheduling
,The fan was not working and the staff was not taking any responsibility,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with waiting list tickets,Station Management & Infrastructure
,The food was not good and it was not healthy,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very stinky and dirty,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for platform tickets,Commercial & Ticketing
,The train was stopped due to a security problem in the previous station,Security & Rpf
,The train was late and I had to face a lot of inconvenience,Operations & Scheduling
,The light was not working and the staff was not taking any action,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with general tickets,Station Management & Infrastructure
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean towel,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinking,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for monthly passes,Commercial & Ticketing
,The train was stopped due to a security problem in the area,Security & Rpf
,The train was late and I had to miss my important event,Operations & Scheduling
,The fan was not working and the staff was not giving any solution,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with luggage,Station Management & Infrastructure
,The food was not good and it was not properly served,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for season tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the route,Security & Rpf
,The train was late and I had to change my travel plans,Operations & Scheduling
,The light was not working and the staff was not listening to my complaint,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with pets,Station Management & Infrastructure
,The food was not good and it was not properly packed and it was not properly packed,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for group bookings,Commercial & Ticketing
,The train was stopped due to a security problem at the station,Security & Rpf
,The train was late and I had to take another train and I had to take another train,Operations & Scheduling
,The fan was not working and the staff was not providing any help,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with special needs,Station Management & Infrastructure
,The food was not good and it was not properly delivered,Catering & Food Quality
,The staff was not providing a clean blanket cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for foreign tourists,Commercial & Ticketing
,The train was stopped due to a security problem on the train itself,Security & Rpf
,The train was late and I had to stay at a hotel for the night,Operations & Scheduling
,The light was not working and the staff was not taking any notice,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with heavy luggage,Station Management & Infrastructure
,The food was not good and it was not properly prepared,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not maintained,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for senior citizen tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the next station,Security & Rpf
,The train was late and I had to cancel my trip,Operations & Scheduling
,The announcement for my train s arrival was completely inaudible,Operations & Scheduling
,The water provided in the pantry car tasted metallic and unsafe,Catering & Food Quality
,Staff members were having a loud personal conversation ignoring passengers,Staff Behavior & Customer Service
,The ramp at Pune station was too steep for a wheelchair,Station Management & Infrastructure
,My PNR was not found on the system despite having a confirmed ticket,Commercial & Ticketing
,The coach was vibrating excessively making the journey very uncomfortable,Technical Maintenance (Coach)
,The train stopped between two stations for over an hour with no explanation,Operations & Scheduling
,The samosas sold by the vendor were reheated and oily,Catering & Food Quality
,The washroom was not cleaned and the floor was dangerously slippery,Cleanliness & Housekeeping
,A railway employee was rude when I asked for directions to my coach,Staff Behavior & Customer Service
,The platform was full of stray dogs creating a nuisance,Security & Rpf
,The waiting room at Chennai station was in a very poor condition,Station Management & Infrastructure
,The website s session expires too quickly making it hard to book tickets,Commercial & Ticketing
,The latch on the window was broken and it kept rattling,Technical Maintenance (Coach)
,The train was delayed but the digital boards showed it as being on time,Operations & Scheduling
,The food was not handled with gloves by the pantry staff,Catering & Food Quality
,The coach was not properly swept and there was dirt under the seats,Cleanliness & Housekeeping
,The TTE was not helpful in resolving a seat dispute,Staff Behavior & Customer Service
,People were jumping onto the tracks to cross but no RPF was present to stop them,Security & Rpf
,The station did not have a designated pick up and drop off point,Station Management & Infrastructure
,The website is not optimized for mobile browsers making it difficult to use,Commercial & Ticketing
,The coach s suspension was so bad that I felt every bump on the track,Technical Maintenance (Coach)
,The train was late but the staff refused to provide a delay certificate,Operations & Scheduling
,The food was served without a proper bill,Catering & Food Quality
,The coach was not cleaned and there were used masks lying on the floor,Cleanliness & Housekeeping
,The staff was not able to provide information about the next stoppage,Staff Behavior & Customer Service
,The train was stopped in a very dark and secluded area at night,Security & Rpf
,The station did not have a proper baggage scanner,Station Management & Infrastructure
,The website does not have a save for later option for train searches,Commercial & Ticketing
,The coach s door was making a loud creaking sound,Technical Maintenance (Coach)
,The train was delayed due to a problem with the railway crossing gate,Operations & Scheduling
,The food was not fresh and it gave me food poisoning,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty,Cleanliness & Housekeeping
,The staff was not able to provide a complaint register when requested,Staff Behavior & Customer Service
,The train was running without a single security personnel in my coach,Security & Rpf
,The station did not have a proper food stall with hygienic options,Station Management & Infrastructure
,The website does not provide an option to book a return ticket for the same day,Commercial & Ticketing
,The coach s fire safety equipment was not visible,Technical Maintenance (Coach)
,The train was delayed due to a problem with the track circuit,Operations & Scheduling
,The food was served in a very messy way,Catering & Food Quality
,The coach was not cleaned and the seats were sticky,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s composition,Staff Behavior & Customer Service
,The train was stopped due to a security alert at a nearby station,Security & Rpf
,The station did not have a proper inquiry booth for passengers,Station Management & Infrastructure
,The website does not provide an option to select a food preference for children,Commercial & Ticketing
,The coach s water dispenser was not working,Technical Maintenance (Coach)
,The train was delayed due to a problem with the loco,Operations & Scheduling
,The food was not good and the portion size was very small,Catering & Food Quality
,The coach was not cleaned and the curtains were smelly,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s facilities,Staff Behavior & Customer Service
,The train was stopped due to a security check at the station,Security & Rpf
,The station did not have a proper waiting room for passengers with unreserved tickets,Station Management & Infrastructure
,The website does not provide an option to book a ticket for an infant,Commercial & Ticketing
,The coach s toilet door was not locking from the inside,Technical Maintenance (Coach)
,The train was delayed due to a problem with the signaling system,Operations & Scheduling
,The food was not good and it was not fresh,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and wet,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s history,Staff Behavior & Customer Service
,The train was stopped due to a security issue at the previous station,Security & Rpf
,The station did not have a proper waiting room for passengers with disabilities,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a pet online,Commercial & Ticketing
,The coach s fan was running very slowly,Technical Maintenance (Coach)
,The train was delayed due to a problem with the power car,Operations & Scheduling
,The food was not good and it was not properly cooked,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s schedule,Staff Behavior & Customer Service
,The train was stopped due to a security problem at the next station,Security & Rpf
,The station did not have a proper waiting room for passengers with luggage,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a bicycle,Commercial & Ticketing
,The coach s lights were too bright at night,Technical Maintenance (Coach)
,The train was delayed due to a problem with the pantograph,Operations & Scheduling
,The food was not good and it was not properly served,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s route,Staff Behavior & Customer Service
,The train was stopped due to a security problem on the line,Security & Rpf
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a musical instrument,Commercial & Ticketing
,The coach s window was very hard to open,Technical Maintenance (Coach)
,The train was delayed due to a problem with the train s brakes,Operations & Scheduling
,The food was not good and it was not properly packed,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s speed,Staff Behavior & Customer Service
,The train was stopped due to a security problem at the station,Security & Rpf
,The station did not have a proper waiting room for passengers with special needs,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a wheelchair,Commercial & Ticketing
,The coach s fan was making a loud noise,Technical Maintenance (Coach)
,The train was delayed due to a problem with the train s wheels,Operations & Scheduling
,The food was not good and it was not properly delivered,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s coach number,Staff Behavior & Customer Service
,The train was stopped due to a security problem on the train itself,Security & Rpf
,The station did not have a proper waiting room for passengers with heavy luggage,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a senior citizen with a companion,Commercial & Ticketing
,The coach s lights were not working and the staff was not taking any notice,Technical Maintenance (Coach)
,The train was delayed due to a problem with the train s coupling,Operations & Scheduling
,The food was not good and it was not properly prepared,Catering & Food Quality
,The coach was not cleaned and the toilet was very dirty and not maintained,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s platform number,Staff Behavior & Customer Service
,The train was stopped due to a security problem at the next station,Security & Rpf
,The station did not have a proper waiting room for passengers with a medical condition,Station Management & Infrastructure
,Coach ka fan ajeeb aawaz kar raha tha poori raat,Technical Maintenance (Coach)
,Platform par achanak se train ka coach position badal diya gaya,Operations & Scheduling
,Bina ticket wale log reserved coach me travel kar rahe the,Security & Rpf
,Website par PNR status update nahi ho raha tha,Commercial & Ticketing
,Khaane me baal nikla quality bahut hi kharab thi,Catering & Food Quality
,TTE ne extra paise maange seat dene ke liye,Staff Behavior & Customer Service
,Station ka waiting hall bahut ganda aur badbudar tha,Station Management & Infrastructure
,Toilet me paani nahi aa raha tha subah se,Cleanliness & Housekeeping
,Mere confirmed ticket par koi aur baitha tha aur staff ne help nahi ki,Commercial & Ticketing
,Train me chori ho gayi par koi RPF personnel nahi mila,Security & Rpf
,Ghanto tak train late thi aur koi sahi jaankari nahi de raha tha,Operations & Scheduling
,Seat ke neeche kachra pada hua tha pichle passenger ka,Cleanliness & Housekeeping
,Staff ka aapsi jhagda passengers ke saamne ho raha tha,Staff Behavior & Customer Service
,Platform par lighting bahut kam thi andhera sa tha,Station Management & Infrastructure
,Veg meal order kiya tha par non veg de diya,Catering & Food Quality
,Window ka glass toota hua tha thandi hawa aa rahi thi,Technical Maintenance (Coach)
,Train cancel ho gayi par refund ab tak nahi mila,Commercial & Ticketing
,Coach me ajeeb si smell aa rahi thi jaise kuch sad raha ho,Cleanliness & Housekeeping
,Security check ke naam par sirf formality ho rahi thi,Security & Rpf
,Staff ko train ke route ke baare me hi nahi pata tha,Staff Behavior & Customer Service
,Train ka aane ka announcement itni dheere tha ki sunai nahi diya,Operations & Scheduling
,Station par aawara kutte ghoom rahe the darr lag raha tha,Station Management & Infrastructure
,Paani ki bottle MRP se zyada me bechi ja rahi thi,Catering & Food Quality
,Seat ka back support kaam nahi kar raha tha,Technical Maintenance (Coach)
,Online app par train ka live location galat dikha raha tha,Operations & Scheduling
,Bina reservation wale log AC coach me ghus gaye the,Security & Rpf
,Ticket counter par staff bahut hi dheere kaam kar raha tha,Staff Behavior & Customer Service
,Toilet ka flush kaam nahi kar raha,Cleanliness & Housekeeping
,Website par train search karne par no trains found aa raha tha,Commercial & Ticketing
,Platform itna neecha tha ki train me chadhna mushkil tha,Station Management & Infrastructure
,AC se paani tapak raha tha direct seat par,Technical Maintenance (Coach)
,Train ko 3 ghante tak outer par rok kar rakha,Operations & Scheduling
,Chai me cheeni bahut zyada thi peena mushkil tha,Catering & Food Quality
,Ladies coach me gents travel kar rahe the aur RPF ne kuch nahi kiya,Security & Rpf
,Bedroll me se pillow gayab tha,Cleanliness & Housekeeping
,Staff ne senior citizen ki help karne se inkaar kar diya,Staff Behavior & Customer Service
,Station par achanak se light chali gayi andhera ho gaya,Station Management & Infrastructure
,The payment failed but the amount was deducted from my account,Commercial & Ticketing
,The overhead rack was dusty and made my bag dirty,Technical Maintenance (Coach)
,Train was unexpectedly terminated at an earlier station,Operations & Scheduling
,The food quantity was insufficient for an adult,Catering & Food Quality
,The coach was not sprayed with air freshener and it smelled bad,Cleanliness & Housekeeping
,The staff was not able to provide a wheelchair for a disabled person,Staff Behavior & Customer Service
,The station was very poorly maintained with peeling paint and cracks,Station Management & Infrastructure
,A group of people were making a lot of noise and disturbing everyone,Security & Rpf
,The train s schedule is not convenient for daily commuters,Operations & Scheduling
,The booking website does not have a user friendly interface,Commercial & Ticketing
,The seat was making a squeaking noise throughout the journey,Technical Maintenance (Coach)
,The food served was not the one I had paid for in advance,Catering & Food Quality
,The coach was full of unauthorized vendors selling their products,Security & Rpf
,The staff was not providing any information about the platform change,Staff Behavior & Customer Service
,The toilet s latch was broken and it couldn t be closed properly,Cleanliness & Housekeeping
,The station did not have a proper parking facility for cars,Station Management & Infrastructure
,The train was late and I missed my job interview,Operations & Scheduling
,The website is very confusing for a person who is not familiar with computers,Commercial & Ticketing
,The window shade was broken and couldn t be pulled down,Technical Maintenance (Coach)
,The food was not properly covered and was exposed to insects,Catering & Food Quality
,The staff was not helping a passenger with a lot of luggage,Staff Behavior & Customer Service
,The coach was not cleaned and there were used water bottles everywhere,Cleanliness & Housekeeping
,The security personnel were not vigilant and were busy on their phones,Security & Rpf
,The station did not have a proper waiting area for students,Station Management & Infrastructure
,The train was delayed and the staff was not providing any food or water,Operations & Scheduling
,The website does not have a clear policy on the carriage of pets,Commercial & Ticketing
,The AC was not working and the staff was not taking any complaints,Technical Maintenance (Coach)
,The food was not good and it was not properly heated,Catering & Food Quality
,The staff was not providing a clean pillowcase even after asking multiple times,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was not sanitized,Cleanliness & Housekeeping
,The security was not adequate and my phone got stolen,Security & Rpf
,The station did not have a proper waiting room for passengers with waitlisted tickets,Station Management & Infrastructure
,The train was late and I had to cancel my onward journey,Operations & Scheduling
,The website does not have a clear policy on the carriage of luggage,Commercial & Ticketing
,The fan was not working and the staff was not providing any alternate solution,Technical Maintenance (Coach)
,The food was not good and it was not properly packed,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and slippery,Cleanliness & Housekeeping
,The security was not good and there was a lot of pickpocketing,Security & Rpf
,The station did not have a proper waiting room for passengers with general class tickets,Station Management & Infrastructure
,The train was late and I had to pay extra for my stay,Operations & Scheduling
,The website does not have a clear policy on the carriage of musical instruments,Commercial & Ticketing
,The light was not working and the staff was not providing any solution,Technical Maintenance (Coach)
,The food was not good and it was not properly served,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very smelly and unhygienic,Cleanliness & Housekeeping
,The security was not good and there was a lot of theft,Security & Rpf
,The station did not have a proper waiting room for passengers with luggage,Station Management & Infrastructure
,The train was late and I had to miss my important work,Operations & Scheduling
,The website does not have a clear policy on the carriage of sports equipment,Commercial & Ticketing
,The fan was not working and the staff was not taking any action at all,Technical Maintenance (Coach)
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The security was not good and there was a lot of eve teasing,Security & Rpf
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The train was late and I had to face a lot of problems during my journey,Operations & Scheduling
,The website does not have a clear policy on the carriage of perishable goods,Commercial & Ticketing
,The light was not working and the staff was not paying any attention to it,Technical Maintenance (Coach)
,The food was not good and it was not properly packed and served,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The security was not good and there was a lot of nuisance,Security & Rpf
,The announcement for train arrival was made just 2 minutes before it reached the platform,Operations & Scheduling
,The seat cushion was completely flat and offered no comfort,Technical Maintenance (Coach)
,The station premises were littered with plastic cups and plates,Station Management & Infrastructure
,The meal I received was different from the one I ordered,Catering & Food Quality
,The staff at the information counter was dismissive and unhelpful,Staff Behavior & Customer Service
,The washroom was not cleaned and the hand soap was missing,Cleanliness & Housekeeping
,I was unable to apply a discount coupon on the booking website,Commercial & Ticketing
,A group of people were playing loud music and the RPF did not intervene,Security & Rpf
,The train was late by over 5 hours and no reason was given,Operations & Scheduling
,The tray table was sticky with old food stains,Technical Maintenance (Coach)
,The waiting hall at the station was overcrowded and had no ventilation,Station Management & Infrastructure
,The food served was cold and the rice was hard,Catering & Food Quality
,The TTE was not checking for tickets allowing unauthorized travel,Staff Behavior & Customer Service
,The coach was not cleaned and there was a lot of dust on the berths,Cleanliness & Housekeeping
,The website s captcha is too complicated and hard to solve,Commercial & Ticketing
,The train was stopped in a remote area with no security presence,Security & Rpf
,The train was running late but the app showed that it was running on time,Operations & Scheduling
,The AC vent was blocked and was not providing any cool air,Technical Maintenance (Coach)
,The station did not have a proper designated area for taxi pickups,Station Management & Infrastructure
,The food was not hygienic and I saw a fly in my meal,Catering & Food Quality
,The staff was not providing a wheelchair for an elderly passenger in need,Staff Behavior & Customer Service
,The coach was not cleaned and the dustbin was not emptied for the entire journey,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for partially used tickets,Commercial & Ticketing
,The train was stopped due to a signal failure ahead of us,Security & Rpf
,The train was late and I missed a crucial medical appointment,Operations & Scheduling
,The fan was running at a very high speed and was very noisy,Technical Maintenance (Coach)
,The station did not have a proper waiting room for mothers with infants,Station Management & Infrastructure
,The food was not good and was not fresh,Catering & Food Quality
,The staff was not providing a clean bedsheet even though it was a long journey,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website is not easy to navigate for booking tickets quickly,Commercial & Ticketing
,The train was stopped due to a security check which took a very long time,Security & Rpf
,The train was late and I had to pay for an expensive hotel room,Operations & Scheduling
,The light in the coach was too dim to read a book,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with physical disabilities,Station Management & Infrastructure
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very dusty and had stains,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for confirmed tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the station ahead,Security & Rpf
,The train was late and I had to reschedule my flight tickets at a high cost,Operations & Scheduling
,The fan was not working and the staff did not have any solution for it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with confirmed reservation,Station Management & Infrastructure
,The food was not good and it was not hygienic,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for waitlisted tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the railway tracks,Security & Rpf
,The train was late and I had to face a lot of difficulties,Operations & Scheduling
,The light was not working and the staff was not taking any action on my complaint,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The food was not good and it was not properly packed,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for RAC tickets,Commercial & Ticketing
,The train was stopped due to a security problem in the train,Security & Rpf
,The train was late and I had to cancel my important work,Operations & Scheduling
,The fan was not working and the staff was not providing any alternative,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with general tickets,Station Management & Infrastructure
,The food was not good and it was not properly served,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for group tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the next station,Security & Rpf
,The train was late and I had to change my entire travel itinerary,Operations & Scheduling
,The light was not working and the staff was not listening to my repeated requests,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with pets,Station Management & Infrastructure
,The food was not good and it was not properly delivered to my seat,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for foreign tourist tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the route,Security & Rpf
,The train was late and I had to stay in a different city for the night,Operations & Scheduling
,The fan was not working and the staff was not providing any help to fix it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with special needs,Station Management & Infrastructure
,The food was not good and it was not properly prepared,Catering & Food Quality
,The staff was not providing a clean blanket cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not maintained,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for senior citizen quota tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the previous station,Security & Rpf
,The train was late and I had to book a new ticket for my onward journey,Operations & Scheduling
,The light was not working and the staff was not taking any notice of it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with heavy luggage,Station Management & Infrastructure
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for confirmed tickets,Commercial & Ticketing
,The train was stopped due to a security issue on board the train,Security & Rpf
,The train was late and I had to cancel my trip and return home,Operations & Scheduling
,The fan was not working and it was very suffocating in the coach,Technical Maintenance (Coach)
,The station did not have a proper waiting room for women travelers,Station Management & Infrastructure
,The food was not good and it was not fresh and tasty,Catering & Food Quality
,The staff was not providing a clean towel,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for RAC tickets,Commercial & Ticketing
,The train was stopped due to a security threat on board the train,Security & Rpf
,The train was late and I had to go through a lot of mental stress,Operations & Scheduling
,The light was not working and it was very problematic for me to travel,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with confirmed tickets,Station Management & Infrastructure
,The food was not good and it was not fresh and tasty at all,Catering & Food Quality
,The announcement for train arrival was made just 2 minutes before it reached the platform,Operations & Scheduling
,The seat cushion was completely flat and offered no comfort,Technical Maintenance (Coach)
,The station premises were littered with plastic cups and plates,Station Management & Infrastructure
,The meal I received was different from the one I ordered,Catering & Food Quality
,The staff at the information counter was dismissive and unhelpful,Staff Behavior & Customer Service
,The washroom was not cleaned and the hand soap was missing,Cleanliness & Housekeeping
,I was unable to apply a discount coupon on the booking website,Commercial & Ticketing
,A group of people were playing loud music and the RPF did not intervene,Security & Rpf
,The train was late by over 5 hours and no reason was given,Operations & Scheduling
,The tray table was sticky with old food stains,Technical Maintenance (Coach)
,The waiting hall at the station was overcrowded and had no ventilation,Station Management & Infrastructure
,The food served was cold and the rice was hard,Catering & Food Quality
,The TTE was not checking for tickets allowing unauthorized travel,Staff Behavior & Customer Service
,The coach was not cleaned and there was a lot of dust on the berths,Cleanliness & Housekeeping
,The website s captcha is too complicated and hard to solve,Commercial & Ticketing
,The train was stopped in a remote area with no security presence,Security & Rpf
,The train was running late but the app showed that it was running on time,Operations & Scheduling
,The AC vent was blocked and was not providing any cool air,Technical Maintenance (Coach)
,The station did not have a proper designated area for taxi pickups,Station Management & Infrastructure
,The food was not hygienic and I saw a fly in my meal,Catering & Food Quality
,The staff was not providing a wheelchair for an elderly passenger in need,Staff Behavior & Customer Service
,The coach was not cleaned and the dustbin was not emptied for the entire journey,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for partially used tickets,Commercial & Ticketing
,The train was stopped due to a signal failure ahead of us,Security & Rpf
,The train was late and I missed a crucial medical appointment,Operations & Scheduling
,The fan was running at a very high speed and was very noisy,Technical Maintenance (Coach)
,The station did not have a proper waiting room for mothers with infants,Station Management & Infrastructure
,The food was not good and was not fresh,Catering & Food Quality
,The staff was not providing a clean bedsheet even though it was a long journey,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website is not easy to navigate for booking tickets quickly,Commercial & Ticketing
,The train was stopped due to a security check which took a very long time,Security & Rpf
,The train was late and I had to pay for an expensive hotel room,Operations & Scheduling
,The light in the coach was too dim to read a book,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with physical disabilities,Station Management & Infrastructure
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very dusty and had stains,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for confirmed tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the station ahead,Security & Rpf
,The train was late and I had to reschedule my flight tickets at a high cost,Operations & Scheduling
,The fan was not working and the staff did not have any solution for it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with confirmed reservation,Station Management & Infrastructure
,The food was not good and it was not hygienic and it was not hygienic,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for waitlisted tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the railway tracks,Security & Rpf
,The train was late and I had to face a lot of difficulties,Operations & Scheduling
,The light was not working and the staff was not taking any action on my complaint,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The food was not good and it was not properly packed,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for RAC tickets,Commercial & Ticketing
,The train was stopped due to a security problem in the train,Security & Rpf
,The train was late and I had to cancel my important work,Operations & Scheduling
,The fan was not working and the staff was not providing any alternative,Technical Maintenance (Coach)
